Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1896,10,31.9,28,Y
IDCJAC0005,086071,1896,11,36.3,23,Y
IDCJAC0005,086071,1896,12,37.1,23,Y
IDCJAC0005,086071,1897,01,39.0,07,Y
IDCJAC0005,086071,1897,02,35.3,18,Y
IDCJAC0005,086071,1897,03,32.0,13,Y
IDCJAC0005,086071,1897,04,29.1,17,Y
IDCJAC0005,086071,1897,05,21.6,12,Y
IDCJAC0005,086071,1897,06,19.8,18,Y
IDCJAC0005,086071,1897,07,18.9,30,Y
IDCJAC0005,086071,1897,08,20.9,27,Y
IDCJAC0005,086071,1897,09,27.1,17,Y
IDCJAC0005,086071,1897,10,26.7,27,Y
IDCJAC0005,086071,1897,11,37.2,19,Y
IDCJAC0005,086071,1897,12,41.8,30,Y
IDCJAC0005,086071,1898,01,42.9,11,Y
IDCJAC0005,086071,1898,02,41.9,04,Y
IDCJAC0005,086071,1898,03,35.5,08,Y
IDCJAC0005,086071,1898,04,29.9,01,Y
IDCJAC0005,086071,1898,05,20.7,30,Y
IDCJAC0005,086071,1898,06,19.6,01,Y
IDCJAC0005,086071,1898,07,17.7,14,Y
IDCJAC0005,086071,1898,08,20.6,26,Y
IDCJAC0005,086071,1898,09,22.7,25,Y
IDCJAC0005,086071,1898,10,31.7,26,Y
IDCJAC0005,086071,1898,11,33.1,01,Y
IDCJAC0005,086071,1898,12,43.0,05,Y
IDCJAC0005,086071,1899,01,39.1,09,Y
IDCJAC0005,086071,1899,02,38.7,14,Y
IDCJAC0005,086071,1899,03,36.7,16,Y
IDCJAC0005,086071,1899,04,28.9,01,Y
IDCJAC0005,086071,1899,05,21.1,13,Y
IDCJAC0005,086071,1899,06,17.7,20,Y
IDCJAC0005,086071,1899,07,16.1,12,Y
